;MET_5.1;MET_5.2;F2i/F2u_7.1;VSA_7.1;VAI_7.1;FCR_7.1;NoP_8.1;PPT_8.1;SPIR_8.1;RIWP_8.1;relF0VR_8.2;relF0SD_8.2;RS_8.3;relF0VR_8.4;relF0SD_8.4;relF1SD_9.1;relF2SD_9.1;relF0SD_9.1;relF0VR_9.1;relSEOSD_9.1;relSEOVR_9.1;RIWP_9.1;SPIR_9.1;relF1SD_9.2;relF2SD_9.2;relF0SD_9.2;relF0VR_9.2;relSEOSD_9.2;relSEOVR_9.2;RIWP_9.2;SPIR_9.2;PPT_9.2;NoP_9.2;relF1SD_9.4;relF2SD_9.4;relF0SD_9.4;relF0VR_9.4;relSEOSD_9.4;relSEOVR_9.4;RIWP_9.4;SPIR_9.4;PPT_9.4;NoP_9.4
K1003;14.4050625;9.7050625;0.9989131138011231;142032.74898594807;0.42841580016236314;2.3435176097473174;19.0;49.98459851373817;33.70762845766533;21.63270008786285;1.057217694617711;0.23638869056119116;0.0015720759574670937;1.0800974787938373;1.0800974787938373;0.3233387616839337;0.13063356176894161;0.09304353474378588;1.2301125581124284;0.10095804058399786;0.7533471275227741;490.13422683924654;141.4003176127603;0.25887614261319714;0.11063150945991629;0.09409902592037449;0.9798770926334267;0.11113020789419889;0.7119487720381161;2.0646296233164465;34.245787862616325;437.3171440207213;7.4;0.3007016692037182;0.10805198193561869;0.5192455665909208;0.9642199622732676;0.13582852246270014;0.8958429546171462;20.92211989651029;70.4189701432245;103.93087077723347;130
K1004;23.3800625;12.7200625;1.0094853108979889;120109.65720750453;0.4432240405597926;2.27871994342961;22.0;56.55396071394936;53.2016428470268;19.311436611835124;1.0699854788079894;0.46777726949995574;4.1526162375437154;0.8583853870557896;0.8583853870557896;0.1843898997724434;0.0870487870429816;0.10541416468638565;0.8341300953595672;0.10049408547692928;0.8216170068974232;615.891923787975;152.7552473254055;0.1891438949667347;0.09001162813525646;0.3540377141251402;0.9094493985157138;0.11047620576042028;0.7047537153675204;1.8784971496581881;35.07239876574749;463.37756764432413;8.0;0.22939597544227178;0.11265434017426097;0.4647917225197829;0.968722467296115;0.12698619551480175;0.8843943526251972;17.03774888818112;60.145452561183745;81.31935339197713;137
K1005;23.2600625;13.2275625;0.9814627375168629;143019.00010758778;0.4066613155403619;2.484618893375612;17.0;108.247921570947;69.81197630917656;14.020514514088903;0.9160537412434363;0.4170377757903217;4.68104546381761;1.0756627725493382;1.0756627725493382;0.3073342470462703;0.12103478338868572;0.03816562512565336;0.9351901460077432;0.11197876385107708;0.7530862278511231;917.3555993483453;172.4114825112453;0.2654749097801428;0.0972865048402594;0.19017219239473276;0.9620380054693263;0.12253543076248871;0.6715409132611224;0.9831933140175732;26.16283982911105;644.6056793723399;6.4;0.3041280215598107;0.1294276891455281;0.23274704206893815;1.1161440586390337;0.14889630601160828;0.820925332454798;19.44563259109171;72.73063032029177;92.75392652066775;127
K1006;12.0725625;11.74;;;;;18.0;117.58643637294688;62.78562143867366;68.79384516735146;0.8207395533758793;0.3619490560080086;4.422478495581527;0.6869051916890271;0.6869051916890271;0.31590869574322583;0.16103372210020886;0.06405555094096618;1.1234674733106573;0.09914800516170796;0.8410681468159783;956.6502578388569;162.49292370468493;0.22841504728828718;0.11775152613312209;0.22206337803981252;0.8163149489508992;0.12190060669728583;0.7398501972191334;1.8574146836598664;38.87160700603946;596.903111843187;7.4;0.276141291634245;0.1451510860257831;0.4561676628333005;0.8805030949278564;0.14203843431935104;0.8315880699586625;13.597140803856583;59.877957080533776;92.54276068423975;139
K1007;22.7700625;9.7700625;;;;;23.0;108.91405312336613;80.43258292998885;16.44975699905898;0.8195041619805248;0.17899531499309493;3.7784242684171274;0.7695691455326643;0.7695691455326643;0.24346039263431707;0.13525456669367836;0.12355693705409836;0.8751937669122256;0.08429244641568502;0.821063136162264;1071.3435608263899;142.19903510885746;0.1871790684347993;0.11648541617730201;0.16250434457380605;0.7339233059771944;0.10764196040893641;0.7044539294620572;1.551141823447318;43.62171447136664;683.216544839371;7.4;0.22745250974471504;0.12439327164563076;0.25761005339188375;0.9251272713702461;0.14476966063495292;0.86610041604865;16.137508559909403;57.7986285995968;94.29156844082004;148
K1012;17.8475625;13.7875;1.121877199734924;415481.4390829634;0.41730830544003156;2.405426361470517;17.0;99.32215299201822;55.394868761766;51.78836910031907;0.7631455719789907;0.5211229554742706;4.036190162112906;0.844255246091085;0.844255246091085;0.32903935854403876;0.1530992148421771;;;0.11440836595381047;0.7264167018782858;863.5189872156521;154.62924448567009;0.2976943913309729;0.13663807930713254;0.19002660860978454;1.114607553366969;0.1388401728584058;0.7708371347138193;2.162949051459104;40.11981337878217;576.0438056692534;6.2;0.2735415491658369;0.1258369599924697;0.40745148624183314;0.9825133697232799;0.13498965981158426;0.8270941460194751;15.942145773478803;53.82238013858061;94.96024242021034;148
K1017;17.7500625;14.6525625;;;;;15.0;85.90419835043582;38.5407287180046;52.13899695199829;1.1180333928074846;0.2197151219626995;3.9867638094188;0.9036990226503824;0.9036990226503824;0.3351892298962584;0.16957720490284217;0.12274508676203237;1.0585779582341734;0.11540175324067121;0.7485864951825332;897.2734054286564;148.97189616030272;0.2705734808745371;0.1398279642827308;0.14998546029287999;1.133222666939496;0.12898569293293835;0.8450628863990707;1.4012273547475704;28.20049755298018;520.434058401532;6.8;0.3044153588805356;0.13258050951846895;0.24484247714989632;1.0190570946712507;0.14664830647547375;0.8473184986541228;15.000368839149699;49.026740193929285;83.65226726375793;137
K1018;17.2500625;12.4525625;1.0257305171170203;168404.56079040415;0.4570873120729436;2.195458987429351;16.0;88.44054082518439;58.079738641176114;59.989845987650185;0.9756891017498978;0.20703195923085482;4.245804898809646;0.8309322025393818;0.8309322025393818;0.2572186832545189;0.13759717327292945;0.1493778402258064;0.8224214719994339;0.11506737064344948;0.7870309921910501;850.6895751873519;168.5057737944794;0.2405287294473562;0.14205548785527577;0.14726880063279735;0.7918331705564341;0.12437466335691347;0.7834369627221472;2.1971389539104362;38.59433813076415;560.6720472761406;6.6;0.27522384321712795;0.1410299793705892;0.1967826975939664;0.991475615152011;0.16042720169335603;0.9148172426622969;20.452555922137407;58.8659114251989;87.78384713946578;158
K1019;15.3925625;10.6950625;0.9241783621938355;277286.05261567794;0.38335303325278736;2.622967217469863;21.0;91.34114249574252;95.37258463962078;60.50180076885483;1.4674111979379794;0.11009167486995865;4.217193683715066;1.0224842557957277;1.0224842557957277;0.31306246660894266;0.17019531891091258;0.07787351414508577;1.1287553260775103;0.0888955244904994;0.6936257897198146;843.5502749079499;154.04448401394794;0.23647570673403456;0.1296071179920788;0.10550333005104924;0.9680139234828721;0.10969376691908791;0.7501825588835599;2.7354458151223726;57.942783941396236;580.5243923866799;5.8;0.2725189516012339;0.14518158353873198;0.30655372019622096;1.1085713556142247;0.1483744957931348;0.8580107414088383;16.32866556621207;54.88737146862163;86.28751891655385;132
K1020;18.8150625;20.7725625;0.9442440372907663;177349.532301176;0.3820818496882458;2.6229651093175113;16.0;98.0896127250432;57.67809614217651;56.287714192716486;0.9492530417266289;0.32539603101227443;4.059299541136625;0.8484265677878344;0.8484265677878344;0.252949156402435;0.1523867280050822;0.09449312611381765;0.8485725277478053;0.0988574600715633;0.7400781278067422;1004.5841817319437;154.81973875321128;0.20274318688256612;0.12576819195450845;0.18445670542472287;0.8523437946209407;0.10283968613777703;0.6765666965003437;1.5335559652457849;35.48105994732803;618.7237763837433;6.4;0.271375759907724;0.1718989205731568;0.24445068871779835;0.9838533684866576;0.11746953509781834;0.792131959358001;17.69285367249663;54.3007077231249;80.37153594807522;144
